id,symbol,date,open,high,low,close,adj_close,volume,created_at,dividends,stock_splits,capital_gains
2181,XLV,2025-08-28,136.2071,136.227,135.142,135.8089,135.8089,9165700,2025-10-24 22:59:49.677963,0.0,0.0,0.0
2182,XLV,2025-08-29,135.9184,136.8442,135.7492,136.8044,136.8044,9655700,2025-10-24 22:59:49.677963,0.0,0.0,0.0
2183,XLV,2025-09-02,136.2668,137.113,135.8388,136.9338,136.9338,13325300,2025-10-24 22:59:49.677963,0.0,0.0,0.0
2184,XLV,2025-09-03,136.4858,137.1328,135.6198,136.2867,136.2867,12586000,2025-10-24 22:59:49.677963,0.0,0.0,0.0
2185,XLV,2025-09-04,136.1772,136.8442,135.4605,136.8044,136.8044,11778600,2025-10-24 22:59:49.677963,0.0,0.0,0.0
2186,XLV,2025-09-05,136.655,137.75,136.4261,137.2722,137.2722,14664000,2025-10-24 22:59:49.677963,0.0,0.0,0.0
2187,XLV,2025-09-08,136.8342,137.2424,135.7492,137.2225,137.2225,15753300,2025-10-24 22:59:49.677963,0.0,0.0,0.0
2188,XLV,2025-09-09,137.4315,138.3374,137.093,137.9591,137.9591,12249600,2025-10-24 22:59:49.677963,0.0,0.0,0.0
2189,XLV,2025-09-10,137.8794,137.8794,136.1872,136.7048,136.7048,13588300,2025-10-24 22:59:49.677963,0.0,0.0,0.0
2190,XLV,2025-09-11,137.4116,139.3627,137.2623,139.0839,139.0839,16470800,2025-10-24 22:59:49.677963,0.0,0.0,0.0
2191,XLV,2025-09-12,138.5962,139.1735,137.4713,137.4813,137.4813,11345400,2025-10-24 22:59:49.677963,0.0,0.0,0.0
2192,XLV,2025-09-15,137.6306,137.9093,136.0379,136.3066,136.3066,11233800,2025-10-24 22:59:49.677963,0.0,0.0,0.0
2193,XLV,2025-09-16,136.0379,136.7645,135.9184,136.3066,136.3066,12443800,2025-10-24 22:59:49.677963,0.0,0.0,0.0
2194,XLV,2025-09-17,136.5057,137.6604,136.217,136.5754,136.5754,12501500,2025-10-24 22:59:49.677963,0.0,0.0,0.0
2195,XLV,2025-09-18,136.5754,137.312,136.2668,136.8442,136.8442,11472900,2025-10-24 22:59:49.677963,0.0,0.0,0.0
2196,XLV,2025-09-19,137.1926,137.2722,136.5555,136.665,136.665,11280900,2025-10-24 22:59:49.677963,0.0,0.0,0.0
2197,XLV,2025-09-22,136.19,137.26,135.89,136.63,136.63,9732700,2025-10-24 22:59:49.677963,0.625,0.0,0.0
